,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
0,11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,Gas Giant,1.08 x Jupiter,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742,2.7,19
1,11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,Gas Giant,1.09 x Jupiter,1.53 AU,1.4 years,0.08,11 UMi,Radial Velocity,,,15h17m05.89s,+71d49m26.0s,4213,2.78,29.79
2,14 Andromedae b,247,4.8 Jupiters,5.227,2008,Gas Giant,1.15 x Jupiter,0.83 AU,185.8 days,0,14 And,Radial Velocity,,,23h31m17.42s,+39d14m10.3s,4813,2.2,11
3,14 Herculis b,59,4.66 Jupiters,6.61,2002,Gas Giant,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,,,16h10m24.31s,+43d49m03.5s,5338,0.9,0.93
4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,Gas Giant,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,,,19h41m51.97s,+50d31m03.1s,5750,1.08,1.13
5,18 Delphini b,249,10.3 Jupiters,5.506,2008,Gas Giant,1.11 x Jupiter,2.6 AU,2.7 years,0.08,18 Del,Radial Velocity,,,20h58m25.94s,+10d50m21.4s,4979,2.3,8.5
6,1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,Gas Giant,1.664 x Jupiter,330.0 AU,6505.9 years,0,1RXS J160929.1-210524,Imaging,,,16h09m30.30s,-21d04m58.9s,4060,0.85,
7,24 Bootis b,314,0.91 Jupiters,5.58,2018,Gas Giant,1.24 x Jupiter,0.19 AU,30.4 days,0.04,24 Boo,Radial Velocity,,,14h28m37.81s,+49d50m41.5s,4893,0.99,10.64
8,24 Sextantis b,236,1.99 Jupiters,6.441,2010,Gas Giant,1.19 x Jupiter,1.333 AU,452.8 days,0.09,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098,1.54,4.9
9,24 Sextantis c,236,0.86 Jupiters,6.441,2010,Gas Giant,1.24 x Jupiter,2.08 AU,2.4 years,0.29,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098,1.54,4.9
10,2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013,Gas Giant,1.1 x Jupiter,84.0 AU,1767.2 years,0,2MASS J01033563-5515561 A,Imaging,,,01h03m35.63s,-55d15m56.1s,,0.19,
11,2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,Gas Giant,1.0 x Jupiter,52.0 AU,593.2 years,0,2MASS J01225093-2439505,Imaging,,,01h22m50.94s,-24d39m50.6s,3530,0.4,
12,2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,Gas Giant,1.44 x Jupiter,156.0 AU,5878.1 years,0,2MASS J02192210-3925225,Imaging,,,02h19m22.11s,-39d25m22.5s,3064,0.11,0.28
13,2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,Gas Giant,1.13 x Jupiter,15.0 AU,411 years,0,2MASS J04414489+2301513,Imaging,,,04h41m44.90s,+23d01m51.4s,,0.02,
14,2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,Gas Giant,1.16 x Jupiter,46.0 AU,2207.3 years,0,2MASS J12073346-3932539,Imaging,,,12h07m33.47s,-39d32m54.0s,,0.02,
15,2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,Gas Giant,1.2 x Jupiter,0.92 AU,416 days,0,2MASS J19383260+4603591,Eclipse Timing Variations,,,19h38m32.61s,+46d03m59.1s,,0.48,
16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,Gas Giant,0.92 x Jupiter,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,46.2,,21h40m29.32s,+16d25m18.3s,2300,0.08,0.12
17,2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,Gas Giant,1.1 x Jupiter,230.0 AU,4505.7 years,0,2MASS J22362452+4751425,Imaging,,,22h36m24.53s,+47d51m42.6s,4045,0.6,
18,30 Arietis B b,146,13.82 Jupiters,6.962,2009,Gas Giant,1.1 x Jupiter,0.99 AU,335.1 days,0.29,30 Ari B,Radial Velocity,,,02h36m57.74s,+24d38m53.0s,6331,1.93,1.41
19,42 Draconis b,296,3.88 Jupiters,4.82,2008,Gas Giant,1.16 x Jupiter,1.19 AU,479.1 days,0.38,4 UMa,Radial Velocity,,,08h40m12.82s,+64d19m40.6s,4415,1.23,18.11
20,47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,Gas Giant,1.18 x Jupiter,2.1 AU,3 years,0.03,42 Dra,Radial Velocity,,,18h25m59.14s,+65d33m48.5s,4200,0.98,22.03
21,47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,Gas Giant,1.27 x Jupiter,3.6 AU,6.6 years,0.1,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892,1.03,1.23
22,47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,Gas Giant,1.2 x Jupiter,11.6 AU,38.4 years,0.16,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892,1.03,1.23
23,4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,Gas Giant,1.13 x Jupiter,0.87 AU,269.3 days,0.43,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892,1.03,1.23
24,51 Eridani b,96,2 Jupiters,5.23,2015,Gas Giant,1.19 x Jupiter,12.0 AU,32 years,0.45,51 Eri,Imaging,133,,04h37m36.13s,-02d28m24.8s,,1.75,
25,51 Pegasi b,50,0.46 Jupiters,5.5,1995,Gas Giant,1.27 x Jupiter,0.0527 AU,4.2 days,0.01,51 Peg,Radial Velocity,,,22h57m27.98s,+20d46m07.8s,5793,1.12,1.2
26,55 Cancri b,41,0.8306 Jupiters,5.96,1996,Gas Giant,1.24 x Jupiter,0.115227 AU,14.7 days,0,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
27,55 Cancri c,41,0.1714 Jupiters,5.96,2004,Gas Giant,0.76 x Jupiter,0.241376 AU,44.4 days,0.02,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
28,55 Cancri d,41,3.878 Jupiters,5.96,2002,Gas Giant,1.16 x Jupiter,5.503 AU,13.2 years,0.02,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
29,55 Cancri e,41,8.08 Earths,5.96,2004,Super Earth,1.91 x Earth,0.01544 AU,0.7 days,0.03,55 Cnc,Radial Velocity,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
30,55 Cancri f,41,0.141 Jupiters,5.96,2007,Gas Giant,0.677 x Jupiter,0.788 AU,262 days,0.31,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
31,61 Virginis b,28,5.1 Earths,4.74,2009,Neptune-like,2.11 x Earth,0.050201 AU,4.2 days,0.12,6 Lyn,Radial Velocity,,,06h30m47.11s,+58d09m45.5s,4938,1.44,5.2
32,61 Virginis c,28,18.2 Earths,4.74,2009,Neptune-like,0.398 x Jupiter,0.2175 AU,38 days,0.14,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96
33,61 Virginis d,28,22.9 Earths,4.74,2009,Neptune-like,0.456 x Jupiter,0.476 AU,123 days,0.35,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96
34,6 Lyncis b,179,2.01 Jupiters,5.86,2008,Gas Giant,1.19 x Jupiter,2.11 AU,2.6 years,0.07,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96
35,70 Virginis b,58,7.49 Jupiters,4.97,1996,Gas Giant,1.13 x Jupiter,0.481 AU,116.7 days,0.4,7 CMa,Radial Velocity,90,,06h36m41.04s,-19d15m21.2s,4826,1.34,4.87
36,75 Ceti b,271,3 Jupiters,5.35,2012,Gas Giant,1.17 x Jupiter,2.1 AU,1.9 years,0.12,7 CMa,Radial Velocity,90,,06h36m41.04s,-19d15m21.2s,4826,1.34,4.87
37,7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,Gas Giant,1.2 x Jupiter,1.758 AU,2 years,0.06,70 Vir,Radial Velocity,,,13h28m25.81s,+13d46m43.6s,5495,1.09,1.89
38,7 Canis Majoris c,65,0.87 Jupiters,3.92,2019,Gas Giant,1.24 x Jupiter,2.153 AU,2.7 years,0.08,75 Cet,Radial Velocity,,,02h32m09.42s,-01d02m05.6s,4846,2.49,10.5
39,81 Ceti b,331,5.3 Jupiters,5.65,2008,Gas Giant,1.14 x Jupiter,2.5 AU,2.6 years,0.21,8 UMi,Radial Velocity,,,14h56m48.35s,+74d54m03.3s,4847,1.44,10.3
40,8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015,Gas Giant,1.22 x Jupiter,0.49 AU,93.4 days,0.06,81 Cet,Radial Velocity,,,02h37m41.80s,-03d23m46.2s,4785,2.4,11
41,91 Aquarii b,144,3.2 Jupiters,4.25,2013,Gas Giant,1.17 x Jupiter,0.7 AU,181.4 days,0.03,91 Aqr,Radial Velocity,,,23h15m53.50s,-09d05m15.9s,4665,1.4,11
42,AB Pictoris b,163,13.5 Jupiters,9.128,2005,Gas Giant,1.1 x Jupiter,260.0 AU,4421.7 years,0,AB Pic,Imaging,,,06h19m12.91s,-58d03m15.5s,,,
43,Alpha Arietis b,66,1.8 Jupiters,2,2010,Gas Giant,1.2 x Jupiter,1.2 AU,380.8 days,0.25,alf Ari,Radial Velocity,,,02h07m10.41s,+23d27m44.7s,4553,1.5,13.9
44,Alpha Tauri b,67,6.47 Jupiters,0.85,2015,Gas Giant,1.13 x Jupiter,1.46 AU,1.7 years,0.1,alf Tau,Radial Velocity,,,04h35m55.24s,+16d30m33.5s,4055,1.13,45.1
45,AU Microscopii b,32,0.18 Jupiters,8.81,2020,Gas Giant,0.375 x Jupiter,0.066 AU,8.5 days,0.1,AU Mic,Transit,,4.4,20h45m09.53s,-31d20m27.2s,3700,0.5,0.75
46,BD+03 2562 b,8540,6.4 Jupiters,9.58,2017,Gas Giant,1.13 x Jupiter,1.3 AU,481.9 days,0.2,BD+03 2562,Radial Velocity,,,11h50m15.55s,+02d45m36.5s,4095,1.14,32.35
47,BD-06 1339 b,66,8.5 Earths,9.7,2013,Neptune-like,0.254 x Jupiter,0.0428 AU,3.9 days,0,BD+14 4559,Radial Velocity,,,21h13m35.99s,+14d41m21.8s,4864,0.49,0.86
48,BD-06 1339 c,66,0.17 Jupiters,9.7,2013,Gas Giant,0.747 x Jupiter,0.435 AU,125.9 days,0.31,BD+15 2375,Radial Velocity,,,11h45m55.72s,+14d36m59.0s,4649,1.08,8.95
49,BD-08 2823 b,135,12.7132 Earths,9.88,2009,Neptune-like,0.322 x Jupiter,0.06 AU,5.6 days,0.15,BD+15 2940,Radial Velocity,,,16h00m22.94s,+15d32m48.9s,4796,1.1,14.7
50,BD-08 2823 c,135,0.33 Jupiters,9.88,2009,Gas Giant,1.11 x Jupiter,0.68 AU,237.6 days,0.19,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259,10.83,71.02
51,BD-10 3166 b,276,0.59 Jupiters,10.08,2000,Gas Giant,1.26 x Jupiter,0.04 AU,3.5 days,0.02,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259,10.83,71.02
52,BD-11 4672 b,89,0.65 Jupiters,9.99,2014,Gas Giant,1.25 x Jupiter,2.36 AU,4.5 years,0.05,BD+20 274,Radial Velocity,,,01h43m40.88s,+21d00m19.1s,4296,0.8,17.3
53,BD-11 4672 c,89,15.37 Earths,9.99,2020,Neptune-like,0.36 x Jupiter,0.3 AU,74.2 days,0.4,BD+20 594,Transit,89.55,,03h34m36.23s,+20d35m57.2s,5766,1.67,1.08
54,BD-13 2130 b,3095,9.78 Jupiters,9.45,2007,Gas Giant,1.11 x Jupiter,1.66 AU,2 years,0.21,BD+48 738,Radial Velocity,,,02h42m50.45s,+49d35m13.1s,4414,0.74,11
55,BD+14 4559 b,161,1.04 Jupiters,9.63,2009,Gas Giant,1.23 x Jupiter,0.78 AU,268.9 days,0.29,BD+48 740,Radial Velocity,,,02h42m58.22s,+48d55m48.2s,4534,1.09,10.33
56,BD+15 2375 b,2525,1.061 Jupiters,10.31,2016,Gas Giant,1.23 x Jupiter,0.576 AU,153.2 days,0,BD+49 828,Radial Velocity,,,03h02m33.73s,+49d43m48.0s,4943,1.52,7.6
57,BD+15 2940 b,1408,1.11 Jupiters,9.046,2013,Gas Giant,1.23 x Jupiter,0.539 AU,137.5 days,0.26,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324,0.7,
58,BD-17 63 b,113,5.1 Jupiters,9.566,2008,Gas Giant,1.15 x Jupiter,1.34 AU,1.8 years,0.54,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324,0.7,
59,BD+20 2457 b,5450,55.59 Jupiters,9.75,2009,Gas Giant,1.03 x Jupiter,1.05 AU,379.6 days,0.15,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816,0.5,0.71
60,BD+20 2457 c,5450,12.47 Jupiters,9.75,2009,Gas Giant,1.1 x Jupiter,2.01 AU,1.7 years,0.18,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816,0.5,0.71
61,BD+20 274 b,4514,4.2 Jupiters,9.36,2012,Gas Giant,1.16 x Jupiter,1.3 AU,1.6 years,0.21,BD-10 3166,Radial Velocity,,,10h58m28.80s,-10d46m13.4s,5393,1.47,0.91
62,BD+20 594 b,588,22.2481 Earths,11.038,2016,Neptune-like,0.23 x Jupiter,0.241 AU,41.7 days,0,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550,0.65,0.64
63,BD+48 738 b,2910,0.91 Jupiters,9.14,2011,Gas Giant,1.24 x Jupiter,1.0 AU,392.6 days,0.2,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550,0.65,0.64
64,BD+48 740 b,2215,1.7 Jupiters,8.699,2018,Gas Giant,1.2 x Jupiter,1.7 AU,2 years,0.76,BD-13 2130,Radial Velocity,,,07h37m09.23s,-13d54m23.9s,4545,2.12,19.17
65,BD+49 828 b,1460,1.6 Jupiters,9.38,2015,Gas Giant,1.21 x Jupiter,4.2 AU,7.1 years,0.35,BD-17 63,Radial Velocity,,,00h28m34.31s,-16d13m34.8s,4714,0.74,0.69
66,Beta Cancri b,295,7.8 Jupiters,3.53,2014,Gas Giant,1.12 x Jupiter,1.7 AU,1.7 years,0.08,bet Cnc,Radial Velocity,,,08h16m30.92s,+09d11m08.0s,4092.1,1.7,47.2
67,Beta Pictoris b,64,11 Jupiters,3.85,2008,Gas Giant,1.65 x Jupiter,9.1 AU,21 years,0.08,bet Pic,Imaging,88.9,,05h47m17.09s,-51d03m59.4s,,1.76,
68,Beta Pictoris c,64,9 Jupiters,3.85,2019,Gas Giant,1.12 x Jupiter,2.7 AU,3.3 years,0.24,bet Pic,Radial Velocity,90,,05h47m17.09s,-51d03m59.4s,,1.76,
69,Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014,Gas Giant,1.14 x Jupiter,1.4 AU,1.4 years,0.19,bet UMi,Radial Velocity,,,14h50m42.33s,+74d09m19.8s,4126,1.4,38.3
70,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,Gas Giant,1.11 x Jupiter,2.6 AU,27.5 years,0,CFBDSIR J145829+101343,Imaging,,,14h58m29.00s,+10d13m43.0s,580.5,0.02,
71,CHXR 73 b,623,12.569 Jupiters,17.293,2006,Gas Giant,1.1 x Jupiter,210.0 AU,5146.9 years,0,CHXR 73,Imaging,,,11h06m28.77s,-77d37m33.2s,,0.35,
72,CI Tauri b,515,11.6 Jupiters,12.939,2019,Gas Giant,1.11 x Jupiter,Unknown,9 days,0.25,CI Tau,Radial Velocity,50.5,,04h33m52.01s,+22d50m30.1s,,0.9,
73,CoRoT-10 b,1125,2.75 Jupiters,15.22,2010,Gas Giant,0.97 x Jupiter,0.1055 AU,13.2 days,0.53,CoRoT-1,Transit,85.1,0.38,06h48m19.17s,-03d06m07.7s,5950,0.95,1.11
74,CoRoT-11 b,1827,2.33 Jupiters,12.939,2010,Gas Giant,1.43 x Jupiter,0.0436 AU,3 days,0,CoRoT-10,Transit,88.55,3.7,19h24m15.29s,+00d44m46.1s,5075,0.89,0.79
75,CoRoT-12 b,3751,0.917 Jupiters,15.515,2010,Gas Giant,1.44 x Jupiter,0.04016 AU,2.8 days,0.07,CoRoT-11,Transit,83.17,0.99,18h42m44.94s,+05d56m15.7s,6440,1.27,1.37
76,CoRoT-13 b,3458,1.308 Jupiters,15.039,2010,Gas Giant,0.885 x Jupiter,0.051 AU,4 days,0,CoRoT-12,Transit,85.48,0.411,06h43m03.76s,-01d17m47.2s,5675,1.08,1.12
77,CoRoT-14 b,4371,7.6 Jupiters,16.033,2010,Gas Giant,1.09 x Jupiter,0.027 AU,1.5 days,0,CoRoT-13,Transit,88.02,2.34,06h50m53.07s,-05d05m11.2s,5945,1.09,1.01
78,CoRoT-16 b,2740,0.535 Jupiters,15.63,2011,Gas Giant,1.17 x Jupiter,0.0618 AU,5.4 days,0.33,CoRoT-14,Transit,79.6,7.3,06h53m41.81s,-05d32m09.7s,6035,1.13,1.21
79,CoRoT-17 b,3001,2.43 Jupiters,15.46,2011,Gas Giant,1.02 x Jupiter,0.0461 AU,3.8 days,0,CoRoT-16,Transit,85.01,0.44,18h34m05.93s,-06d00m09.3s,5650,1.1,1.19
80,CoRoT-18 b,2838,3.47 Jupiters,15,2011,Gas Giant,1.31 x Jupiter,0.0295 AU,1.9 days,< 0.08,CoRoT-17,Transit,88.34,2.82,18h34m47.82s,-06d36m44.0s,5740,1.04,1.59
81,CoRoT-19 b,2512,1.11 Jupiters,14.007,2011,Gas Giant,1.29 x Jupiter,0.0518 AU,3.9 days,0.05,CoRoT-18,Transit,86.5,2.2,06h32m41.38s,-00d01m53.7s,5440,0.95,1
82,CoRoT-1 b,2627,1.03 Jupiters,13.6,2008,Gas Giant,1.49 x Jupiter,0.02752 AU,1.5 days,0,CoRoT-19,Transit,88,0.71,06h28m08.06s,-00d10m14.5s,6090,1.21,1.65
83,CoRoT-20 b,2819,4.3 Jupiters,14.66,2011,Gas Giant,0.84 x Jupiter,0.09 AU,9.2 days,0.59,CoRoT-2,Transit,88.08,1.47,19h27m06.49s,+01d23m01.4s,5625,0.96,0.91
84,CoRoT-20 c,2819,17 Jupiters,14.66,2018,Gas Giant,1.09 x Jupiter,2.9 AU,4.6 years,0.6,CoRoT-20,Transit,88.21,,06h30m52.90s,+00d13m36.9s,,1.14,
85,CoRoT-21 b,4563,2.26 Jupiters,16,2012,Gas Giant,1.3 x Jupiter,0.0417 AU,2.7 days,0,CoRoT-20,Radial Velocity,,,06h30m52.90s,+00d13m36.9s,,1.14,
86,CoRoT-22 b,1931,12.2 Earths,13.944,2014,Neptune-like,0.435 x Jupiter,0.092 AU,9.8 days,0.08,CoRoT-21,Transit,86.8,1.36,06h44m12.588s,-00d17m56.868s,6200,1.29,1.95
87,CoRoT-23 b,1957,2.8 Jupiters,15.63,2011,Gas Giant,1.05 x Jupiter,0.048 AU,3.6 days,0.16,CoRoT-22,Transit,89.749,0.249,18h42m40.11s,+06d13m08.9s,5939,1.1,1.14
88,CoRoT-24 b,1957,5.7 Earths,15.18,2014,Neptune-like,0.33 x Jupiter,0.056 AU,5.1 days,0,CoRoT-23,Transit,85.7,3,18h39m07.83s,+04d21m28.1s,5900,1.14,1.61
89,CoRoT-24 c,1957,28 Earths,15.18,2014,Neptune-like,0.44 x Jupiter,0.098 AU,11.8 days,0,CoRoT-24,Transit,86.5,0.9,06h47m41.41s,-03d43m09.5s,4950,0.91,0.86
90,CoRoT-25 b,3262,0.27 Jupiters,14.711,2013,Gas Giant,1.08 x Jupiter,0.0578 AU,4.9 days,0,CoRoT-24,Transit,89,1.3,06h47m41.41s,-03d43m09.5s,4950,0.91,0.86
91,CoRoT-26 b,5448,0.52 Jupiters,15.468,2013,Gas Giant,1.26 x Jupiter,0.0526 AU,4.2 days,0,CoRoT-25,Transit,84.5,0.15,18h42m31.12s,+06d30m49.8s,6040,1.09,1.19
92,CoRoT-27 b,3377,10.39 Jupiters,15.54,2014,Gas Giant,1.007 x Jupiter,0.0476 AU,3.6 days,< 0.065,CoRoT-26,Transit,86.8,0.28,18h39m00.12s,+06d58m11.2s,5590,1.09,1.79
93,CoRoT-28 b,1827,0.484 Jupiters,13.412,2015,Gas Giant,0.955 x Jupiter,0.0603 AU,5.2 days,0.05,CoRoT-27,Transit,86.7,12.6,18h33m59.00s,+05d32m18.5s,5900,1.05,1.08
94,CoRoT-29 b,2495,0.85 Jupiters,15.239,2015,Gas Giant,0.9 x Jupiter,0.0386 AU,2.9 days,0.08,CoRoT-28,Transit,88.1,0.69,18h34m45.20s,+05d34m25.4s,5150,1.01,1.78
95,CoRoT-2 b,652,3.47 Jupiters,12.57,2008,Gas Giant,1.466 x Jupiter,0.02798 AU,1.7 days,0.01,CoRoT-29,Transit,87.3,1.45,18h35m36.50s,+06d28m46.7s,5260,0.97,0.9
96,CoRoT-30 b,3132,2.9 Jupiters,15.65,2020,Gas Giant,1.009 x Jupiter,0.0844 AU,9.1 days,0.01,CoRoT-3,Transit,85.9,26.4,19h28m13.26s,+00d07m18.6s,6740,1.37,1.56
97,CoRoT-31 b,7144,0.84 Jupiters,15.465,2020,Gas Giant,1.46 x Jupiter,0.0586 AU,4.6 days,0.02,CoRoT-30,Transit,90,3.45,18h30m24.264s,+06d50m09.424s,5650,0.98,0.91
98,CoRoT-3 b,2218,21.66 Jupiters,13.292,2008,Gas Giant,1.01 x Jupiter,0.05783 AU,4.3 days,0,CoRoT-31,Transit,83.2,0.33,06h19m16.975s,-04d25m20.194s,5700,1.25,2.15
99,CoRoT-4 b,2419,0.72 Jupiters,13.561,2008,Gas Giant,1.19 x Jupiter,0.09 AU,9.2 days,0,CoRoT-4,Transit,90,0.525,06h48m46.72s,-00d40m22.0s,6190,1.16,1.17
100,CoRoT-5 b,2951,0.467 Jupiters,13.902,2009,Gas Giant,1.388 x Jupiter,0.04947 AU,4 days,0.09,CoRoT-5,Transit,85.83,0.217,06h45m06.54s,+00d48m54.9s,6100,1,1.19
101,CoRoT-6 b,2144,2.96 Jupiters,13.912,2009,Gas Giant,1.166 x Jupiter,0.0855 AU,8.9 days,< 0.1,CoRoT-6,Transit,89.07,2.32,18h44m17.41s,+06d39m47.5s,6090,1.05,1.02
102,CoRoT-7 b,524,3.1783 Earths,11.668,2009,Super Earth,1.681 x Earth,0.017016 AU,0.9 days,0,CoRoT-7,Transit,80.1,,06h43m49.47s,-01d03m46.9s,5275,0.82,0.83
103,CoRoT-7 c,524,8.4 Earths,11.668,2009,Neptune-like,0.253 x Jupiter,0.046 AU,3.7 days,0,CoRoT-7,Radial Velocity,80,,06h43m49.47s,-01d03m46.9s,5275,0.82,0.83
